feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.1,0.35,"[10, 100]","['wasserstein', 'jm']",0.9815,12.34782
0.1,0.35,"[50, 25]","['wasserstein', 'jm']",0.9815,12.379429
0.1,0.0,"[25, 25]","['wasserstein', 'jm']",0.981,12.59845
0.1,0.0,"[100, 10]",wasserstein,0.981,4.488158
0.1,0.0,"[50, 25]","['jm', 'hellinger']",0.981,12.805862
0.1,0.0,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.9805,13.600554
0.1,0.0,"[25, 50]","['wasserstein', 'jm']",0.9805,12.583235
0.1,0.2,"[50, 50]",jm,0.9805,5.665878
0.1,0.2,"[50, 25]",jm,0.9805,5.657322
0.1,0.35,"[25, 25]","['wasserstein', 'jm']",0.9805,12.446613
0.1,0.5,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.9805,13.290337
0.1,0.5,"[100, 10]","['wasserstein', 'jm']",0.9805,12.151853
0.1,0.5,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.9805,13.155943
0.1,0.35,"[100, 10]","['wasserstein', 'jm']",0.98,12.492647
